Day,Time,Lift,Vert Feet
2014-03-19,13:51:53,Eagle Express I,1500
2014-03-19,14:02:31,Eagle Express I,1500
2014-03-19,14:12:31,Eagle Express I,1500
2014-03-19,14:52:17,Eagle Express I,1500
2014-03-19,15:02:23,Eagle Express I,1500
2014-03-19,15:11:55,Eagle Express I,1500
2014-03-19,15:24:55,Eagle Express I,1500
2014-03-19,15:34:50,Eagle Express I,1500
2014-03-19,15:44:23,Eagle Express I,1500
2014-03-19,15:53:44,Eagle Express I,1500
2014-03-21,13:22:45,Moonbeam,675
2014-03-21,13:30:19,Eagle Express I,1500
2014-03-21,13:40:32,Eagle Express I,1500
2014-03-21,13:55:06,Eagle Express I,1500
2014-03-21,14:05:56,Eagle Express I,1500
2014-03-21,14:15:43,Eagle Express I,1500
2014-03-21,14:25:29,Eagle Express I,1500
2014-03-21,14:35:50,Eagle Express I,1500
2014-03-21,14:51:57,Eagle Express I,1500
2014-03-21,15:02:45,Eagle Express I,1500
2014-03-21,15:12:49,Eagle Express I,1500
2014-03-21,15:22:34,Eagle Express I,1500
2014-03-21,15:32:25,Eagle Express I,1500
2014-03-21,15:42:17,Eagle Express I,1500
2014-03-23,12:25:12,Moonbeam,675
2014-03-23,12:33:16,Eagle Express I,1500
2014-03-23,12:43:22,Eagle Express I,1500
2014-03-23,12:53:11,Eagle Express I,1500
2014-03-23,13:03:04,Eagle Express I,1500
2014-03-23,13:16:50,Eagle Express I,1500
2014-03-23,13:26:24,Eagle Express I,1500
2014-03-23,13:36:07,Eagle Express I,1500
2014-03-23,13:45:56,Eagle Express I,1500
2014-03-23,13:55:47,Eagle Express I,1500
2014-03-23,14:05:24,Eagle Express I,1500
2014-03-23,14:15:47,Eagle Express I,1500
2014-03-23,14:29:32,Eagle Express I,1500
2014-03-23,14:39:18,Eagle Express I,1500
2014-03-23,14:56:27,Eagle Express I,1500
2014-03-23,15:08:54,Eagle Express I,1500
2014-03-23,15:18:47,Eagle Express I,1500
2014-03-23,15:28:52,Eagle Express I,1500
2014-03-23,15:40:44,Eagle Express I,1500
2014-03-23,15:50:38,Eagle Express I,1500
2014-03-28,12:36:02,Moonbeam,675
